name,tags,time,in datagrams
net,"host=familia-Infoway,interface=all",2018-12-29T00:00:00Z,0.5119614492241086
net,"host=familia-Infoway,interface=all",2018-12-30T00:00:00Z,0.1975101417874989
net,"host=familia-Infoway,interface=all",2019-01-05T00:00:00Z,0.0695972158448082
net,"host=familia-Infoway,interface=all",2019-01-09T00:00:00Z,0.035203745615675096
net,"host=familia-Infoway,interface=all",2019-01-10T00:00:00Z,0.5078530899353854
net,"host=familia-Infoway,interface=all",2019-01-11T00:00:00Z,0.7014515349044066
net,"host=familia-Infoway,interface=all",2019-01-12T00:00:00Z,0.6901260489004631
net,"host=familia-Infoway,interface=all",2019-01-14T00:00:00Z,1.2543720255903317
net,"host=familia-Infoway,interface=all",2019-01-15T00:00:00Z,1.4532553905178325
net,"host=familia-Infoway,interface=all",2019-01-16T00:00:00Z,1.3511523115997948
net,"host=familia-Infoway,interface=all",2019-02-05T00:00:00Z,0.00021151365059912853
