name,tags,time,out
net,"host=familia-Infoway,interface=eth0",2018-09-01T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-02T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-03T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-04T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-05T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-06T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-07T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-08T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-09T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-10T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-11T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-12T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-13T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-14T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-15T00:00:00Z,0.0
net,"host=familia-Infoway,interface=eth0",2018-09-16T00:00:00Z,71472.14726870292
net,"host=familia-Infoway,interface=eth0",2018-09-17T00:00:00Z,13824.802088762875
net,"host=familia-Infoway,interface=eth0",2018-09-18T00:00:00Z,188.35211106824653
net,"host=familia-Infoway,interface=eth0",2018-09-22T00:00:00Z,7553.900571051955
net,"host=familia-Infoway,interface=eth0",2018-09-23T00:00:00Z,1100.2686242391114
net,"host=familia-Infoway,interface=eth0",2018-09-24T00:00:00Z,198.232676472479
net,"host=familia-Infoway,interface=eth0",2018-09-25T00:00:00Z,173.10014666923908
net,"host=familia-Infoway,interface=eth0",2018-09-26T00:00:00Z,199.22643984696518
net,"host=familia-Infoway,interface=eth0",2018-09-27T00:00:00Z,302.79750346150524
net,"host=familia-Infoway,interface=eth0",2018-09-28T00:00:00Z,495.9297178390774
net,"host=familia-Infoway,interface=eth0",2018-09-29T00:00:00Z,29798.31136129723
net,"host=familia-Infoway,interface=eth0",2018-09-30T00:00:00Z,7927.364337391042
net,"host=familia-Infoway,interface=eth0",2018-10-01T00:00:00Z,10352.707251811122
net,"host=familia-Infoway,interface=eth0",2018-10-02T00:00:00Z,1030.0221003086479
net,"host=familia-Infoway,interface=eth0",2018-10-03T00:00:00Z,632.8766860532429
net,"host=familia-Infoway,interface=eth0",2018-10-04T00:00:00Z,116.34286809841792
net,"host=familia-Infoway,interface=eth0",2018-10-05T00:00:00Z,117.06313212662936
net,"host=familia-Infoway,interface=eth0",2018-10-06T00:00:00Z,151.91096186985573
net,"host=familia-Infoway,interface=eth0",2018-10-07T00:00:00Z,203.57154837223115
net,"host=familia-Infoway,interface=eth0",2018-10-15T00:00:00Z,339.3657110045287
net,"host=familia-Infoway,interface=eth0",2018-10-16T00:00:00Z,191.78829478942686
net,"host=familia-Infoway,interface=eth0",2018-10-18T00:00:00Z,154.56060374543338
net,"host=familia-Infoway,interface=eth0",2018-10-19T00:00:00Z,202.85055657364543
