name,tags,time,out
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2018-12-08T00:00:00Z,105.35122162208513
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2018-12-09T00:00:00Z,76.25141367514928
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-01T00:00:00Z,0.0
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-02T00:00:00Z,0.0
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-03T00:00:00Z,0.0
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-04T00:00:00Z,0.0
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-05T00:00:00Z,0.0
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-06T00:00:00Z,0.0
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-07T00:00:00Z,0.0
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-08T00:00:00Z,0.0
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-09T00:00:00Z,0.0
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-10T00:00:00Z,107.13605168800646
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-11T00:00:00Z,75.53726120524937
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-12T00:00:00Z,102.7905086591205
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-13T00:00:00Z,102.79054595336042
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-14T00:00:00Z,102.79055486968547
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-15T00:00:00Z,102.79054320987728
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-16T00:00:00Z,102.7905322359392
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-17T00:00:00Z,102.79049266975235
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-18T00:00:00Z,102.79049875686015
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-19T00:00:00Z,102.78707891803649
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-20T00:00:00Z,102.78275240055113
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-21T00:00:00Z,102.78277091906578
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-22T00:00:00Z,102.78276033093256
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-23T00:00:00Z,102.78269487311442
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-24T00:00:00Z,102.78620353223549
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-25T00:00:00Z,102.79055898491156
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-26T00:00:00Z,102.79055486968547
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-27T00:00:00Z,102.79057338820287
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-28T00:00:00Z,102.79056211419679
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-29T00:00:00Z,102.79047646605031
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-30T00:00:00Z,102.79052417695246
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-01-31T00:00:00Z,102.79234293553013
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-02-01T00:00:00Z,102.80060013717248
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-02-02T00:00:00Z,102.79055555555556
net,"host=eveticksuricata-VirtualBox,interface=enp3s0",2019-02-03T00:00:00Z,55.63098407902651
