name,tags,time,in datagrams
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-07T00:00:00Z,0.023578965406408803
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-08T00:00:00Z,0.02597127513074417
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-09T00:00:00Z,0.025939616555212725
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-10T00:00:00Z,0.025970003858024535
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-11T00:00:00Z,0.026037670664009055
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-12T00:00:00Z,0.025812643336333974
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-13T00:00:00Z,0.02562651909722212
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-14T00:00:00Z,0.026039509923696944
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-15T00:00:00Z,0.025922145597565185
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-16T00:00:00Z,0.026002708654835394
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-17T00:00:00Z,0.026091337394975905
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-18T00:00:00Z,0.02589129345636155
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-19T00:00:00Z,0.026907256033521964
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-20T00:00:00Z,0.03288916886359739
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-21T00:00:00Z,0.025846962341392166
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-22T00:00:00Z,0.0259765625
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-23T00:00:00Z,0.025834747942386896
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-24T00:00:00Z,0.02569475389017498
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-25T00:00:00Z,0.025774728866597933
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-26T00:00:00Z,0.025971581897290857
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-27T00:00:00Z,0.025905489111797006
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-28T00:00:00Z,0.02586859541109401
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-29T00:00:00Z,0.02573453575102879
net,"host=eveticksuricata-VirtualBox,interface=all",2018-07-30T00:00:00Z,0.025751320837619933
