name,tags,time,out datagrams
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-10T00:00:00Z,0.025692660108024602
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-11T00:00:00Z,0.026198715063443092
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-12T00:00:00Z,0.029674392093192756
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-13T00:00:00Z,0.027733358249742768
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-14T00:00:00Z,0.027635403270747635
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-15T00:00:00Z,0.027433473186728306
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-16T00:00:00Z,0.027493452074759936
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-17T00:00:00Z,0.024563529889885978
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-18T00:00:00Z,0.03921879635422758
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-19T00:00:00Z,0.018995302838962676
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-20T00:00:00Z,0.027591417770490134
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-21T00:00:00Z,0.027649180973508516
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-22T00:00:00Z,0.027691729091649433
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-23T00:00:00Z,0.029451254450589624
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-24T00:00:00Z,0.023504241494018197
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-25T00:00:00Z,0.03251558507628134
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-26T00:00:00Z,0.025320254766576438
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-27T00:00:00Z,0.02767489845893343
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-28T00:00:00Z,0.027651368527092053
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-29T00:00:00Z,0.027678216628086443
net,"host=eveticksuricata-VirtualBox,interface=all",2018-09-30T00:00:00Z,0.027689549575617194
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-01T00:00:00Z,0.02763461559070661
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-02T00:00:00Z,0.0276783666623797
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-03T00:00:00Z,0.027742691186556975
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-04T00:00:00Z,0.0276771422753774
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-05T00:00:00Z,0.027624500332218572
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-06T00:00:00Z,0.02754793242002961
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-07T00:00:00Z,0.028478433427878744
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-08T00:00:00Z,0.028793239347565017
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-09T00:00:00Z,0.027734392414694647
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-10T00:00:00Z,0.027706354756087254
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-11T00:00:00Z,0.027651331018518653
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-12T00:00:00Z,0.02781537476423182
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-13T00:00:00Z,0.02761340583204704
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-14T00:00:00Z,0.027647482370970533
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-15T00:00:00Z,0.02763234498242464
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-16T00:00:00Z,0.027641751596793256
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-17T00:00:00Z,0.02763222441915315
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-18T00:00:00Z,0.027663104691786834
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-19T00:00:00Z,0.027710105613426062
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-20T00:00:00Z,0.02756134661136794
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-21T00:00:00Z,0.027438526127400647
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-22T00:00:00Z,0.027359713916752366
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-23T00:00:00Z,0.027441165123457015
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-24T00:00:00Z,0.02761525178969451
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-25T00:00:00Z,0.02749615135245188
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-26T00:00:00Z,0.02721983506944458
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-27T00:00:00Z,0.027464465985082186
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-28T00:00:00Z,0.0274978419174389
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-29T00:00:00Z,0.027754250525119494
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-30T00:00:00Z,0.027282617723336712
net,"host=eveticksuricata-VirtualBox,interface=all",2018-10-31T00:00:00Z,0.027207159850823465
