name,tags,time,in
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-06T00:00:00Z,7.064227001886143
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-07T00:00:00Z,7.510153420781889
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-08T00:00:00Z,7.002139317558354
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-09T00:00:00Z,6.896026706104253
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-10T00:00:00Z,6.961406614369006
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-11T00:00:00Z,6.67023930469821
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-12T00:00:00Z,31.55297626243137
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-13T00:00:00Z,195.10627547367977
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-14T00:00:00Z,39.85566864926265
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-15T00:00:00Z,3.893659411436982
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-16T00:00:00Z,60.074777542009464
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-17T00:00:00Z,163.85907448052222
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-18T00:00:00Z,261.10444739796185
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-19T00:00:00Z,7.482606583021374
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-20T00:00:00Z,8.542929344564607
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-21T00:00:00Z,11.12890419238678
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-22T00:00:00Z,10.238270136745543
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-23T00:00:00Z,107.56944286810717
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-24T00:00:00Z,14.837128409389406
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-25T00:00:00Z,73.82109597306975
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-26T00:00:00Z,8.056354407955789
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-27T00:00:00Z,11.509770265346116
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-28T00:00:00Z,13.014220036008155
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-29T00:00:00Z,11.512866876714828
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-09-30T00:00:00Z,11.431374817815506
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-01T00:00:00Z,12.059159422153607
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-02T00:00:00Z,16.542354220250207
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-03T00:00:00Z,7.40692589377605
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-04T00:00:00Z,10.299487890088932
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-05T00:00:00Z,11.618055116169637
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-06T00:00:00Z,13.323689556177705
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-07T00:00:00Z,43.02118336477558
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-08T00:00:00Z,8.889144622342041
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-09T00:00:00Z,11.093244695216072
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-10T00:00:00Z,11.091353759430694
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-11T00:00:00Z,9.131845807613184
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-12T00:00:00Z,14.653619738083195
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-13T00:00:00Z,10.52326911865561
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-14T00:00:00Z,9.411880186900014
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-15T00:00:00Z,11.175581918724088
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-16T00:00:00Z,9.206030531978856
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-17T00:00:00Z,10.85187175282898
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-18T00:00:00Z,7.8669289587620925
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-19T00:00:00Z,10.199338648834232
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-20T00:00:00Z,7.024259495027363
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-21T00:00:00Z,9.384977312671296
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-22T00:00:00Z,9.564196352023563
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-23T00:00:00Z,11.356166077246199
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-24T00:00:00Z,12.637811074673923
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-25T00:00:00Z,9.537676954732657
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-26T00:00:00Z,9.437917116769693
net,"host=eveticksuricata-VirtualBox,interface=enp2s0",2018-10-27T00:00:00Z,10.884589366855238
